E, 1 - qF(E), E_0, E_B, E_D, E_B(Theory), Sites, Localized State, Extended State, Dark State
-2.5,0.3326819736199315,-2,-2.240391888454014,-1.682507065662363,1.807414472386075,0,0.09350528518271173,0.2919631983986179,0.4220612809463168
-2.49,0.3251063162353693,-1.682507065662,-1.836269287004433,-0.8308300260037733,1.152560905751462,1,0.1159831972682145,-0.3260311569921241,-0.3878683860591337
-2.48,0.3172962257567852,-0.830830026004,-1,0.2846296765465705,0.1166857973209085,2,0.166342529173958,-0.2539199928935341,0.3222527012755513
-2.470000000000001,0.3092390297827011,0.284629676547,0.1166857973209087,1.30972146789057,-1,3,0.2566892557980466,0.3556600138186256,-0.2305300191452319
-2.460000000000001,0.30092105846616,1.309721467891,1.152560905751463,1.918985947228995,-1.83626928700443,4,0.408741997369283,0.2124195206059425,0.1201311658785804
-2.450000000000001,0.2923275402302921,1.918985947229,1.807414472386076,nan,-2.240391888454015,5,0.659052999578588,-0.3804463549470549,3.191891195797325e-16
-2.440000000000001,0.2834424837789984,nan,nan,nan,nan,6,0.4087419973692839,0.2124195206059428,-0.1201311658785807
-2.430000000000001,0.27424854422054,nan,nan,nan,nan,7,0.2566892557980469,0.3556600138186254,0.2305300191452318
-2.420000000000002,0.2647268707115442,nan,nan,nan,nan,8,0.1663425291739586,-0.2539199928935346,-0.3222527012755508
-2.410000000000002,0.2548569325292951,nan,nan,nan,nan,9,0.1159831972682149,-0.3260311569921236,0.3878683860591334
-2.400000000000002,0.2446163198689042,nan,nan,nan,nan,10,0.09350528518271181,0.2919631983986187,-0.4220612809463167
-2.390000000000002,0.2339805149105465,nan,nan,nan,nan,nan,nan,nan,nan
-2.380000000000003,0.2229226277736793,nan,nan,nan,nan,nan,nan,nan,nan
-2.370000000000003,0.2114130908223629,nan,nan,nan,nan,nan,nan,nan,nan
-2.360000000000003,0.1994193033463425,nan,nan,nan,nan,nan,nan,nan,nan
-2.350000000000003,0.1869052168347177,nan,nan,nan,nan,nan,nan,nan,nan
-2.340000000000003,0.1738308487747857,nan,nan,nan,nan,nan,nan,nan,nan
-2.330000000000004,0.1601517100039491,nan,nan,nan,nan,nan,nan,nan,nan
-2.320000000000004,0.1458181269239658,nan,nan,nan,nan,nan,nan,nan,nan
-2.310000000000004,0.1307744350922018,nan,nan,nan,nan,nan,nan,nan,nan
-2.300000000000004,0.1149580144758811,nan,nan,nan,nan,nan,nan,nan,nan
-2.290000000000004,0.09829812849886732,nan,nan,nan,nan,nan,nan,nan,nan
-2.280000000000005,0.08071451823859377,nan,nan,nan,nan,nan,nan,nan,nan
-2.270000000000005,0.06211568877591445,nan,nan,nan,nan,nan,nan,nan,nan
-2.260000000000005,0.0423968053861038,nan,nan,nan,nan,nan,nan,nan,nan
-2.250000000000005,0.02143709100288071,nan,nan,nan,nan,nan,nan,nan,nan
-2.240000000000006,-0.0009034197011437151,nan,nan,nan,nan,nan,nan,nan,nan
-2.230000000000006,-0.02478796446694398,nan,nan,nan,nan,nan,nan,nan,nan
-2.220000000000006,-0.05040824138856181,nan,nan,nan,nan,nan,nan,nan,nan
-2.210000000000006,-0.077991067173663,nan,nan,nan,nan,nan,nan,nan,nan
-2.200000000000006,-0.1078070186467972,nan,nan,nan,nan,nan,nan,nan,nan
-2.190000000000007,-0.1401817861037948,nan,nan,nan,nan,nan,nan,nan,nan
-2.180000000000007,-0.1755112906025076,nan,nan,nan,nan,nan,nan,nan,nan
-2.170000000000007,-0.2142821119360061,nan,nan,nan,nan,nan,nan,nan,nan
-2.160000000000007,-0.2570995468543886,nan,nan,nan,nan,nan,nan,nan,nan
-2.150000000000007,-0.3047268534998346,nan,nan,nan,nan,nan,nan,nan,nan
-2.140000000000008,-0.3581412690974513,nan,nan,nan,nan,nan,nan,nan,nan
-2.130000000000008,-0.4186158249579044,nan,nan,nan,nan,nan,nan,nan,nan
-2.120000000000008,-0.4878419973614838,nan,nan,nan,nan,nan,nan,nan,nan
-2.110000000000008,-0.5681191680227342,nan,nan,nan,nan,nan,nan,nan,nan
-2.100000000000009,-0.6626576441038192,nan,nan,nan,nan,nan,nan,nan,nan
-2.090000000000009,-0.7760835396227326,nan,nan,nan,nan,nan,nan,nan,nan
-2.080000000000009,-0.9153221169137873,nan,nan,nan,nan,nan,nan,nan,nan
-2.070000000000009,-1.091238006744468,nan,nan,nan,nan,nan,nan,nan,nan
-2.060000000000009,-1.321915273587528,nan,nan,nan,nan,nan,nan,nan,nan
-2.05000000000001,-1.639873023642403,nan,nan,nan,nan,nan,nan,nan,nan
-2.04000000000001,-2.110103624444071,nan,nan,nan,nan,nan,nan,nan,nan
-2.03000000000001,-2.884186081606031,nan,nan,nan,nan,nan,nan,nan,nan
-2.02000000000001,-4.416737224064168,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.970000000000011,3.055439270559491,nan,nan,nan,nan,nan,nan,nan,nan
-1.960000000000012,2.273009964862691,nan,nan,nan,nan,nan,nan,nan,nan
-1.950000000000012,1.791876799328602,nan,nan,nan,nan,nan,nan,nan,nan
-1.940000000000012,1.460325348838185,nan,nan,nan,nan,nan,nan,nan,nan
-1.930000000000012,1.213189162045793,nan,nan,nan,nan,nan,nan,nan,nan
-1.920000000000012,1.017730450747693,nan,nan,nan,nan,nan,nan,nan,nan
-1.910000000000013,0.8555940335736556,nan,nan,nan,nan,nan,nan,nan,nan
-1.900000000000013,0.7155814353094377,nan,nan,nan,nan,nan,nan,nan,nan
-1.890000000000013,0.5903572949775058,nan,nan,nan,nan,nan,nan,nan,nan
-1.880000000000013,0.474791282185721,nan,nan,nan,nan,nan,nan,nan,nan
-1.870000000000013,0.3650509736022843,nan,nan,nan,nan,nan,nan,nan,nan
-1.860000000000014,0.2580649695050878,nan,nan,nan,nan,nan,nan,nan,nan
-1.850000000000014,0.151176245131138,nan,nan,nan,nan,nan,nan,nan,nan
-1.840000000000014,0.04189229282827078,nan,nan,nan,nan,nan,nan,nan,nan
-1.830000000000014,-0.07232263065801048,nan,nan,nan,nan,nan,nan,nan,nan
-1.820000000000014,-0.1942516824413885,nan,nan,nan,nan,nan,nan,nan,nan
-1.810000000000015,-0.3271615156378695,nan,nan,nan,nan,nan,nan,nan,nan
-1.800000000000015,-0.4751136496092783,nan,nan,nan,nan,nan,nan,nan,nan
-1.790000000000015,-0.6434166503540113,nan,nan,nan,nan,nan,nan,nan,nan
-1.780000000000015,-0.8393317956003417,nan,nan,nan,nan,nan,nan,nan,nan
-1.770000000000016,-1.073243438787249,nan,nan,nan,nan,nan,nan,nan,nan
