Distance l,q,q_MSD_numerics,q_* (Theory),q_*(Numerics),MSD_minimum
1,0.001,3349.177288847076,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.003001001001001001,3349.11475777232,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.005002002002002002,3348.985450788594,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.007003003003003003,3348.780982188025,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.009004004004004005,3348.4889699324,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.01100500500500501,3348.093303722539,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.01300600600600601,3347.574550419525,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.01500700700700701,3346.910528306292,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.01700800800800801,3346.077077051012,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.01900900900900901,3345.049037266486,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.02101001001001001,3343.801431652336,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.02301101101101101,3342.310809927757,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.02501201201201201,3340.556685439625,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.02701301301301301,3338.522958238668,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.02901401401401402,3336.199195099177,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.03101501501501502,3333.58162915193,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.03301601601601602,3330.673756095539,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.03501701701701702,3327.486441490159,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.03701801801801802,3324.037509757262,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.03901901901901902,3320.350850245533,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.04102002002002002,3316.455136182246,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.04302102102102102,3312.38229637707,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.04502202202202202,3308.165899248584,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.04702302302302303,3303.839602397517,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.04902402402402403,3299.435792915626,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.05102502502502503,3294.984502317722,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.05302602602602603,3290.51263502751,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.05502702702702703,3286.043508965459,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.05702802802802803,3281.596676229535,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.05902902902902903,3277.187973117319,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.06103003003003003,3272.829741087802,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.06303103103103103,3268.531161344387,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.06503203203203203,3264.29865255871,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.06703303303303304,3260.136291053443,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.06903403403403403,3256.046223296873,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.07103503503503504,3252.029050373112,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.07303603603603603,3248.084172359548,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.07503703703703704,3244.210086981209,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.07703803803803803,3240.404641563413,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.07903903903903904,3236.665240405101,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.08104004004004003,3232.989011552349,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.08304104104104104,3229.372937881671,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.08504204204204205,3225.813957680423,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.08704304304304304,3222.309039765324,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.08904404404404405,3218.85523778068,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.09104504504504504,3215.449727791762,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.09304604604604605,3212.089832715477,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.09504704704704704,3208.773036570777,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.09704804804804805,3205.496991008322,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.09904904904904906,3202.259516117719,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.10105005005005,3199.058597107022,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1030510510510511,3195.892378113099,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1050520520520521,3192.759154117654,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1070530530530531,3189.657361716339,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1090540540540541,3186.585569300557,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1110550550550551,3183.542467066642,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1130560560560561,3180.526857148674,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1150570570570571,3177.537644082338,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1170580580580581,3174.573825737088,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1190590590590591,3171.634484801504,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1210600600600601,3168.718780867336,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1230610610610611,3165.825943128241,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1250620620620621,3162.95526368973,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1270630630630631,3160.106091471358,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1290640640640641,3157.277826672175,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1310650650650651,3154.469915766863,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1330660660660661,3151.681846993014,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1350670670670671,3148.913146292386,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1370680680680681,3146.163373666266,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1390690690690691,3143.432119907993,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1410700700700701,3140.719003676536,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1430710710710711,3138.023668877117,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1450720720720721,3135.345782318485,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1470730730730731,3132.685031616939,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1490740740740741,3130.041123321565,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1510750750750751,3127.413781236684,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1530760760760761,3124.802744919765,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1550770770770771,3122.207768335577,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1570780780780781,3119.628618649246,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1590790790790791,3117.065075142568,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1610800800800801,3114.516928240098,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1630810810810811,3111.983978632357,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1650820820820821,3109.466036485457,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1670830830830831,3106.962920727779,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1690840840840841,3104.474458404509,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1710850850850851,3102.000484093234,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1730860860860861,3099.540839373499,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1750870870870871,3097.095372344456,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1770880880880881,3094.663937185629,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1790890890890891,3092.246393756074,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1810900900900901,3089.842607227853,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1830910910910911,3087.452447750363,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1850920920920921,3085.075790142243,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1870930930930931,3082.712513608162,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1890940940940941,3080.362501478049,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1910950950950951,3078.025640966315,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1930960960960961,3075.70182294949,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1950970970970971,3073.390941760304,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1970980980980981,3071.092894996839,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.1990990990990991,3068.807583345076,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2011001001001001,3066.534910414076,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2031011011011011,3064.274782582424,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2051021021021021,3062.027108854893,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2071031031031031,3059.791800728704,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2091041041041041,3057.568772068437,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2111051051051051,3055.357938988851,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2131061061061061,3053.159219745206,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2151071071071071,3050.972534630169,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2171081081081081,3048.797805877148,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2191091091091091,3046.634957569296,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2211101101101101,3044.483915553856,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2231111111111111,3042.344607361661,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2251121121121121,3040.216962131018,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2271131131131131,3038.100910536017,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2291141141141141,3035.996384718825,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2311151151151151,3033.903318225713,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2331161161161161,3031.821645946501,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2351171171171171,3029.75130405731,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2371181181181181,3027.692229966404,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2391191191191191,3025.644362262732,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2411201201201201,3023.607640667338,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2431211211211211,3021.58200598706,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2451221221221221,3019.567400070795,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2471231231231231,3017.563765767774,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2491241241241241,3015.571046888077,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2511251251251251,3013.589188165012,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2531261261261261,3011.618135219358,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2551271271271272,3009.657834525327,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2571281281281281,3007.708233378226,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2591291291291291,3005.769279863583,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2611301301301301,3003.840922827744,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2631311311311311,3001.923111849954,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2651321321321322,3000.015797215577,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2671331331331331,2998.118929890633,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2691341341341341,2996.232461497517,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2711351351351352,2994.356344291849,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2731361361361361,2992.49053114021,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2751371371371372,2990.634975499048,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2771381381381381,2988.789631394449,0.9101797211244548,0.9134564564564565,2757.068640015289
1,0.2791391391391391,2986.9544534028,0.9101797211244548,0.9134564564564565,2757.068640015289
