q,W_dark,W_extended,W_localized,M_dark,M_extended,M_localized,l,N,q_theory,q_MSD,relative_error_percent
0.01,0.499999999999854,0.4930953535481494,0.006904646451996334,3333.539999999999,3367.62765447946,2896.932184877868,1,100,0.9101797211244548,0.9211567629872622,1.206030150753765
0.02,0.5000000000001362,0.4903908659675972,0.009609134032267045,3333.540000000001,3372.59090731664,2372.503558978606,1,150,0.9101797211244548,0.9147534885672912,0.5025125628140686
0.03,0.4999999999999949,0.4868253021544373,0.01317469784556731,3333.54,3375.965275175672,1808.563207698476,1,200,0.9101797211244548,0.9129239815901566,0.3015075376884412
0.04,0.5000000000000242,0.4826214666168981,0.01737853338307786,3333.54,3375.330687557539,1291.18558300867,1,250,0.9101797211244548,0.9120092281015894,0.2010050251256275
0.05,0.4999999999999898,0.4782011370651786,0.02179886293483213,3333.540000000002,3370.903304544146,890.275913643381,1,300,0.9101797211244548,0.9110944746130221,0.1005025125628137
0.06,0.4999999999999764,0.4739034287934659,0.02609657120655772,3333.54,3364.922754494261,617.0344533309233,2,100,0.4858682717566457,0.5039357351285009,3.71859296482412
0.06999999999999999,0.5000000000000187,0.4698607633855155,0.0301392366144656,3333.54,3359.204818082843,442.048443058885,2,150,0.4858682717566457,0.4941695387112819,1.708542713567843
0.08,0.4999999999999727,0.4660756485327044,0.03392435146732308,3333.54,3354.407190451006,330.4560706378697,2,200,0.4858682717566457,0.4907513699652552,1.005025125628138
0.09,0.5000000000000272,0.4625131385430461,0.0374868614569269,3333.540000000001,3350.531070183866,257.0687213630155,2,250,0.4858682717566457,0.4887981306818114,0.6030150753768899
0.09999999999999999,0.499999999999988,0.4591407904556288,0.04085920954438316,3333.54,3347.387887402669,206.6231219260805,2,300,0.4858682717566457,0.4883098208609505,0.5025125628140749
0.11,0.499999999999978,0.4559364487105616,0.04406355128946058,3333.540000000002,3344.790133671223,170.38227084178,3,100,0.3289150449263754,0.3530465004837879,7.336683417085429
0.12,0.4999999999999926,0.4528860832202903,0.04711391677971734,3333.54,3342.595834595263,143.3371719782138,3,150,0.3289150449263754,0.3404849208785595,3.517587939698493
0.13,0.4999999999999959,0.4499805438621828,0.05001945613782164,3333.540000000002,3340.705593367794,122.5248993910827,3,200,0.3289150449263754,0.3358569704976859,2.110552763819102
0.14,0.4999999999999989,0.4472132967581238,0.05278670324187738,3333.54,3339.050721995743,106.1137990510546,3,250,0.3289150449263754,0.333542995307249,1.40703517587939
0.15,0.499999999999999,0.4445791419090145,0.05542085809098631,3333.54,3337.58305305938,92.91799072924799,3,300,0.3289150449263754,0.3322207237698566,1.005025125628138
